condition,score_state,block,n_games,board_rate,decoy_rate,post_rate,read_rate,cap,board_calls_per_game,decoy_calls_per_game,parse_fail_rate,trunc_rate,retry_rate
hidden,behind,B6,210,1.0,0.9952380952380953,0.8857142857142857,1.0,4096,31.442857142857143,21.571428571428573,0.0003803727653100038,0.0001901863826550019,0.0098896918980601
hidden,behind,B6,210,1.0,1.0,0.8142857142857143,1.0,768,22.49047619047619,16.15714285714286,0.019869352204681546,0.024496461622210124,0.06614044637996734
permitted,ahead,B1,210,1.0,0.9809523809523809,0.9,1.0,4096,27.985714285714284,12.7,0.0005461496450027307,0.0,0.0034589477516839616
permitted,ahead,B1,210,1.0,0.9809523809523809,0.9,1.0,768,27.185714285714287,11.1,0.0007759456838021338,0.00019398642095053346,0.00834141610087294
permitted,ahead,B2,210,1.0,0.9857142857142858,0.919047619047619,1.0,4096,30.447619047619046,13.523809523809524,0.000177210703526493,0.0,0.004075846181109339
permitted,ahead,B2,210,1.0,0.9904761904761905,0.861904761904762,1.0,768,28.36190476190476,11.747619047619047,0.0012836970474967907,0.00018338529249954154,0.013753896937465615
permitted,ahead,B3,210,1.0,1.0,0.9285714285714286,1.0,4096,30.904761904761905,20.580952380952382,0.0025149932288643837,0.0,0.015283420390791256
permitted,ahead,B3,210,1.0,1.0,0.9714285714285714,1.0,768,30.423809523809524,18.5,0.003994113937355476,0.0018919487071683834,0.03237334454488123
permitted,ahead,B4,210,1.0,0.9952380952380953,0.9285714285714286,1.0,4096,27.961904761904762,19.423809523809524,0.004226705091258405,0.0,0.020941402497598464
permitted,ahead,B4,210,1.0,0.9952380952380953,0.9476190476190476,1.0,768,32.55238095238095,21.038095238095238,0.0033370411568409346,0.0003707823507601038,0.03244345569150908
permitted,ahead,B5,210,1.0,0.9952380952380953,0.9666666666666667,1.0,4096,34.93809523809524,23.12857142857143,0.00017464198393293747,0.0,0.003318197694725812
permitted,ahead,B5,210,1.0,0.9809523809523809,0.9095238095238095,1.0,768,26.35238095238095,17.33809523809524,0.012661251791686574,0.017677974199713332,0.04730052556139513
permitted,ahead,B6,210,1.0,1.0,0.9666666666666667,1.0,4096,34.90952380952381,22.795238095238094,0.00018099547511312217,0.0,0.0050678733031674205
permitted,ahead,B6,210,1.0,1.0,0.8857142857142857,1.0,768,23.385714285714286,15.795238095238096,0.015442969384990518,0.02113248442156597,0.06312652397724194
permitted,behind,B1,210,1.0,1.0,0.9238095238095239,1.0,4096,30.695238095238096,15.066666666666666,0.0,0.0,0.0021524663677130046
permitted,behind,B1,210,1.0,0.9619047619047619,0.8095238095238095,1.0,768,29.095238095238095,12.761904761904763,0.0005662514156285391,0.00018875047187617969,0.010192525481313703
permitted,behind,B2,210,1.0,0.9904761904761905,0.8238095238095238,1.0,4096,29.466666666666665,14.714285714285714,0.0001779042874933286,0.0,0.0033801814623732433
permitted,behind,B2,210,1.0,0.9857142857142858,0.8095238095238095,1.0,768,27.061904761904763,12.861904761904762,0.0,0.0,0.007362914163921721
permitted,behind,B3,210,1.0,1.0,0.9047619047619048,1.0,4096,34.7952380952381,23.276190476190475,0.0012574097359439554,0.0,0.011496317585773307
permitted,behind,B3,210,1.0,1.0,0.9285714285714286,1.0,768,32.39523809523809,21.266666666666666,0.0040024014408645186,0.003001801080648389,0.027016209725835502
permitted,behind,B4,210,1.0,1.0,0.9619047619047619,1.0,4096,36.55714285714286,24.104761904761904,0.0008744316194473592,0.0,0.009618747813920952
permitted,behind,B4,210,1.0,1.0,0.9142857142857143,1.0,768,32.13809523809524,21.71904761904762,0.0029302598163703846,0.0029302598163703846,0.021683922641140847
permitted,behind,B5,210,1.0,1.0,0.9619047619047619,1.0,4096,35.44761904761905,22.823809523809523,0.0010911074740861974,0.0010911074740861974,0.016002909619930897
permitted,behind,B5,210,1.0,0.9952380952380953,0.9238095238095239,1.0,768,22.876190476190477,15.6,0.024850042844901457,0.03141959440159954,0.09111682376463867
permitted,behind,B6,210,1.0,0.9952380952380953,0.9571428571428572,1.0,4096,32.333333333333336,21.728571428571428,0.0007710100231303007,0.00038550501156515033,0.010023130300693909
permitted,behind,B6,210,1.0,1.0,0.9,1.0,768,20.185714285714287,13.480952380952381,0.03271645736946464,0.03998678122934567,0.10343688037012558
