opponent_type,model,metric,n_correct,mean_correct,n_wrong,mean_wrong,diff
Pavlov,MiMo,last5_coop,109,0.5568807339449542,103,0.58042071197411,-0.02353997802915586
Pavlov,MiMo,retaliation_rate,79,0.6198991409434448,92,0.543949400982649,0.07594973996079579
Random,DeepSeek,own_coop_played,817,0.29739084568431495,297,0.379255186470546,-0.08186434078623106
Random,DeepSeek,score,817,53.94981640146879,297,41.377104377104374,12.572712024364414
Random,DeepSeek,round1_coop,817,0.6328029375764994,297,0.7710437710437711,-0.13824083346727167
Random,DeepSeek,last5_coop,817,0.24732762137902897,297,0.3223905723905724,-0.07506295101154342
Random,DeepSeek,retaliation_rate,794,0.8064060872864058,280,0.8016238797230338,0.0047822075633719985
Random,MiMo,own_coop_played,67,0.39354562531593995,128,0.5107665122433489,-0.11722088692740895
Random,MiMo,score,67,48.492537313432834,128,46.625,1.867537313432834
Random,MiMo,round1_coop,67,0.4626865671641791,128,0.65625,-0.1935634328358209
Random,MiMo,last5_coop,67,0.3325870646766169,128,0.4779947916666667,-0.14540772699004978
Random,MiMo,retaliation_rate,66,0.644190183285666,125,0.5788617941741782,0.06532838911148786
TitForTat,DeepSeek,own_coop_played,2213,0.5217487567100294,182,0.541356512280614,-0.019607755570584584
TitForTat,DeepSeek,score,2213,45.873926796204245,182,28.126373626373628,17.747553169830617
TitForTat,DeepSeek,round1_coop,2213,0.6601897876186172,182,0.6098901098901099,0.0502996777285073
TitForTat,DeepSeek,last5_coop,2213,0.5020108450067782,182,0.5181318681318682,-0.016121023125090006
TitForTat,DeepSeek,retaliation_rate,1610,0.6638840238877254,122,0.6079785097091002,0.055905514178625215
TitForTat,MiMo,own_coop_played,193,0.7347196910570282,209,0.5981099243699768,0.13660976668705138
TitForTat,MiMo,score,193,54.55958549222798,209,51.44497607655502,3.114609415672959
TitForTat,MiMo,round1_coop,193,0.7098445595854922,209,0.6411483253588517,0.0686962342266405
TitForTat,MiMo,last5_coop,193,0.7613989637305699,209,0.6172248803827751,0.1441740833477948
TitForTat,MiMo,retaliation_rate,134,0.39861466986653077,182,0.44934051707291484,-0.05072584720638407
