dataset,view,index,coop,n_sandboxes,n_decisions
low_arm,C_from_end,25,0.29559701039395536,6,764
low_arm,C_from_end,26,0.14707353959499267,6,744
low_arm,C_from_end,27,0.3642945623106785,6,724
low_arm,C_from_end,28,0.40002867364683753,6,699
low_arm,C_from_end,29,0.6186516696863911,6,676
prereg,A_all_games,1,0.6424954470644763,69,18944
prereg,A_all_games,2,0.5352102515500996,69,18184
prereg,A_all_games,3,0.5071971065090257,69,17438
prereg,A_all_games,4,0.40925958727749473,69,16881
prereg,A_all_games,5,0.47993222540465624,69,16276
prereg,A_all_games,6,0.4580654873170796,69,15731
prereg,A_all_games,7,0.4461200731494523,69,15131
prereg,A_all_games,8,0.4256809089178906,69,14632
prereg,A_all_games,9,0.41424778750583247,69,14089
prereg,A_all_games,10,0.41296595045535106,69,13614
prereg,A_all_games,11,0.409244549736933,69,13117
prereg,A_all_games,12,0.39947950707861213,69,12685
prereg,A_all_games,13,0.3938087336285146,69,12276
prereg,A_all_games,14,0.3518057673298054,69,11890
prereg,A_all_games,15,0.3877209620147282,69,11522
prereg,A_all_games,16,0.38624758596547615,69,11118
prereg,A_all_games,17,0.39181426333330016,69,10745
prereg,A_all_games,18,0.3803996129725739,69,10421
prereg,A_all_games,19,0.36641021286048675,69,10074
prereg,A_all_games,20,0.3795739768541327,69,9756
prereg,A_all_games,21,0.38179925417055693,69,9405
prereg,A_all_games,22,0.3824292332207957,69,9092
prereg,A_all_games,23,0.36914570644507777,69,8780
prereg,A_all_games,24,0.35944426505145716,69,8517
prereg,A_all_games,25,0.37421963090278015,69,8273
prereg,A_all_games,26,0.38131453585591096,69,8022
prereg,A_all_games,27,0.38276935319077243,69,7829
prereg,A_all_games,28,0.3904221839532139,69,7552
prereg,A_all_games,29,0.38519572645417344,69,7305
prereg,A_all_games,30,0.3838992254455751,69,7053
prereg,B_reached_30,1,0.6515454401581561,69,7053
prereg,B_reached_30,2,0.5336349307335669,69,7053
prereg,B_reached_30,3,0.4948808801030075,69,7053
prereg,B_reached_30,4,0.4058467852971649,69,7053
prereg,B_reached_30,5,0.47299055378980615,69,7053
prereg,B_reached_30,6,0.4491822363386697,69,7053
prereg,B_reached_30,7,0.4446112762856725,69,7053
prereg,B_reached_30,8,0.4284349543396502,69,7053
prereg,B_reached_30,9,0.41107799973089254,69,7053
prereg,B_reached_30,10,0.4095858131456655,69,7053
prereg,B_reached_30,11,0.4060744674335172,69,7053
prereg,B_reached_30,12,0.3956823532207916,69,7053
prereg,B_reached_30,13,0.39279675143232795,69,7053
prereg,B_reached_30,14,0.3518657369761245,69,7053
prereg,B_reached_30,15,0.38676955619089415,69,7053
prereg,B_reached_30,16,0.38795319762381897,69,7053
prereg,B_reached_30,17,0.3944204729920472,69,7053
prereg,B_reached_30,18,0.37950875467722506,69,7053
prereg,B_reached_30,19,0.3649569390652869,69,7053
prereg,B_reached_30,20,0.381023657067421,69,7053
prereg,B_reached_30,21,0.3796960821234414,69,7053
prereg,B_reached_30,22,0.38432297084516975,69,7053
prereg,B_reached_30,23,0.37465316846355684,69,7053
prereg,B_reached_30,24,0.36360500197886575,69,7053
prereg,B_reached_30,25,0.3772043962218846,69,7053
prereg,B_reached_30,26,0.38659935603791196,69,7053
prereg,B_reached_30,27,0.38431620883379397,69,7053
prereg,B_reached_30,28,0.38904762018162414,69,7053
prereg,B_reached_30,29,0.3830563742740052,69,7053
prereg,B_reached_30,30,0.3838992254455751,69,7053
prereg,C_from_end,0,0.4039905486485161,69,18944
prereg,C_from_end,1,0.4033762845033629,69,18184
prereg,C_from_end,2,0.4045463791710932,69,17438
prereg,C_from_end,3,0.4095160666641501,69,16881
prereg,C_from_end,4,0.4066339568379572,69,16276
prereg,C_from_end,5,0.4020497319783987,69,15731
prereg,C_from_end,6,0.39538135282302955,69,15131
prereg,C_from_end,7,0.40494868690463276,69,14632
prereg,C_from_end,8,0.4104425088381878,69,14089
prereg,C_from_end,9,0.40776023879681855,69,13614
prereg,C_from_end,10,0.40748490701882206,69,13117
prereg,C_from_end,11,0.3989400294627157,69,12685
prereg,C_from_end,12,0.4108318451332654,69,12276
prereg,C_from_end,13,0.4156738461058952,69,11890
prereg,C_from_end,14,0.4119330375066014,69,11522
prereg,C_from_end,15,0.41453283502311833,69,11118
prereg,C_from_end,16,0.39152012698993754,69,10745
prereg,C_from_end,17,0.4168059775075598,69,10421
prereg,C_from_end,18,0.41897877034025405,69,10074
prereg,C_from_end,19,0.42657791021331537,69,9756
prereg,C_from_end,20,0.42723259464329183,69,9405
prereg,C_from_end,21,0.4300103578311988,69,9092
prereg,C_from_end,22,0.44203623399402225,69,8780
prereg,C_from_end,23,0.4538664574017031,69,8517
prereg,C_from_end,24,0.45573841267552984,69,8273
prereg,C_from_end,25,0.4763205495103864,69,8022
prereg,C_from_end,26,0.4223087516883639,69,7829
prereg,C_from_end,27,0.5024225357231947,69,7552
prereg,C_from_end,28,0.5394261121282352,69,7305
prereg,C_from_end,29,0.6515454401581561,69,7053
replication,A_all_games,1,0.5504921277195952,24,6622
replication,A_all_games,2,0.4417128217011069,24,6417
replication,A_all_games,3,0.42868679059863185,24,6243
replication,A_all_games,4,0.38995901175396236,24,6055
replication,A_all_games,5,0.38118694786554314,24,5872
replication,A_all_games,6,0.37396161750486495,24,5674
replication,A_all_games,7,0.36197744022645756,24,5501
replication,A_all_games,8,0.36674182097921976,24,5353
