dataset,scope,opponent_type,n_sandboxes,n_games,own_coop_played,opp_coop_played,spr,opp_spr,mutual_C,mutual_D,exploited_opp,was_exploited,round1_coop,last5_coop,retaliation_rate,forgiveness_rate,rounds,coop_lo,coop_hi,spr_lo,spr_hi
prereg,effort=high,TitForTat,19,899,0.5924610151564569,0.6385668202661484,2.4777078913822908,2.247864172851376,0.47847885698198683,0.24745102155938142,0.1600879632841617,0.11398215817447006,0.7686403508771932,0.5715820802005013,0.5152156850426312,0.43521688850427537,19.73665413533834,,,,
prereg,effort=off,AlwaysDefect,50,1200,0.24431095717613122,0.0,0.7394662346460167,1.9338017280825996,0.0,0.7556890428238688,0.0,0.24431095717613122,0.6208333333333332,0.19205555555555556,0.8117680172006035,,19.204166666666666,,,,
prereg,effort=off,Grudger,50,1200,0.47252656939183135,0.4071914955978452,1.7634411631103226,2.105378565368602,0.3326210306659549,0.4529029656762784,0.07457046493189033,0.13990553872587644,0.6091666666666666,0.4168333333333333,0.7674191070567511,0.35005997158268654,19.348333333333333,,,,
prereg,effort=off,LLM,50,6588,0.4832831244063499,0.4832831244063499,1.8489160219357792,1.8489160219357792,0.3650588049657728,0.3984925561530728,0.11822431944057721,0.11822431944057721,0.5978881118881119,0.46735742035742034,0.7168014612749072,0.43130973822781904,17.521240093240092,,,,
prereg,effort=off,Pavlov,50,1200,0.5169397163983515,0.7081123536100953,2.706423594640569,1.8335511685006998,0.4443395354159654,0.21928746540751856,0.26377281819412995,0.07260018098238617,0.6025,0.5037499999999999,0.6856230160359353,0.28558931981886365,19.535833333333336,,,,
prereg,effort=off,Random,50,1200,0.38331667112534296,0.4979018431812965,2.3204069953244617,1.7759418493239034,0.18979000435118037,0.3085714900445408,0.30811183883011606,0.19352666677416266,0.6158333333333332,0.3385138888888889,0.7207946188533798,0.34214243262332533,19.156666666666666,,,,
prereg,effort=off,TitForTat,50,2398,0.5327370766890774,0.589779610079889,2.2509075136217773,1.9964700345445814,0.4485497536788023,0.32603306690983586,0.14122985640108657,0.08418732301027511,0.5922163120567376,0.5266742021276596,0.6385590527232012,0.32296547452504754,19.369397163120567,,,,
prereg,score_state=ahead,AlwaysDefect,26,619,0.28188733633084045,0.0,0.7023663445237176,2.0783551347256424,0.0,0.7181126636691595,0.0,0.28188733633084045,0.6041666666666666,0.212075461088619,0.7548831663987285,,19.62095141700405,,,,
prereg,score_state=ahead,Grudger,26,620,0.5094256440847431,0.4203713072564744,1.7724790064415867,2.2284041734024047,0.3464798007909966,0.41668284944977907,0.07389150646547785,0.16294584329374648,0.625,0.4538087606837608,0.7205440757809659,0.2876632219166544,19.533974358974362,,,,
prereg,score_state=ahead,LLM,26,3378,0.515835295545772,0.515835295545772,1.8985270721500913,1.8985270721500913,0.4050011258106024,0.3733305347190586,0.11083416973516949,0.11083416973516949,0.5978982555905632,0.4989735158004388,0.6861416537541766,0.39590874534789605,17.359101155255004,,,,
prereg,score_state=ahead,Pavlov,26,616,0.5087371547744696,0.7119089737604866,2.7825564515411774,1.8044174540899616,0.44685661723404874,0.2262104886990926,0.2650523565264379,0.061880537540420846,0.596153846153846,0.4887820512820513,0.692768088786781,0.24588796977179805,20.228365384615383,,,,
prereg,score_state=ahead,Random,26,618,0.40174690972751254,0.49550232586290843,2.3019323304667805,1.8331548706074359,0.1995026297975551,0.3022533942071341,0.2959996960653534,0.20224427992995742,0.6047008547008547,0.339227207977208,0.6790976737642311,0.3401123228920288,19.154380341880344,,,,
prereg,score_state=ahead,TitForTat,26,1233,0.5779744872606906,0.6272189840484216,2.3235192775863065,2.087602449878165,0.5057534953460471,0.3005600240369351,0.12146548870237438,0.07222099191464336,0.5899993180578288,0.5847897507338997,0.5937743723187223,0.2865169837492942,19.82242128438937,,,,
prereg,score_state=behind,AlwaysDefect,43,1032,0.17885975974867074,0.0,0.810166403042027,1.6915049304675511,0.0,0.8211402402513294,0.0,0.17885975974867074,0.6792635658914729,0.14224806201550388,0.8979487146750881,,19.506782945736433,,,,
prereg,score_state=behind,Grudger,43,1032,0.4194919402436004,0.3860735618728086,1.7681757616723806,1.9473685210051144,0.315493593686488,0.5099280915700789,0.07057996818632067,0.10399834655711246,0.6637596899224807,0.3294250645994832,0.8206783548834982,0.4206352944928514,19.379844961240313,,,,
prereg,score_state=behind,LLM,43,5668,0.42738943007942165,0.42738943007942165,1.8310606334044899,1.8310606334044899,0.30493882835690794,0.4501599681980647,0.1224506017225137,0.1224506017225137,0.6641649048625793,0.389006478018106,0.7715567567870654,0.4037234659923257,18.348268011058707,,,,
prereg,score_state=behind,Pavlov,43,1032,0.5191493637310906,0.7067734460698922,2.719050893462647,1.8649637942969546,0.4462129187633298,0.220290108962347,0.2605605273065624,0.0729364449677608,0.6715116279069767,0.48995478036175705,0.6511361237569778,0.29764596562740814,19.781007751937985,,,,
prereg,score_state=behind,Random,43,1032,0.32033013935809906,0.4955303126657308,2.4271138451962204,1.5881221819383433,0.157859786475222,0.34199933445139213,0.3376705261905088,0.16247035288287703,0.6744186046511627,0.2764050387596899,0.8156532973381452,0.285409769237651,19.501937984496127,,,,
prereg,score_state=behind,TitForTat,43,2064,0.5317738710150838,0.5886989884602862,2.3072168465141494,2.052447844524952,0.42718593226978235,0.3067130727944124,0.1615130561905039,0.10458793874530138,0.6715116279069767,0.5113775839793282,0.6111376039926344,0.3946035588453945,19.257751937984494,,,,
prereg,model=XiaomiMiMo/MiMo-V2.5-Pro,AlwaysDefect,13,312,0.2885159206295824,0.0,0.7093473272336654,2.1465850500396972,0.0,0.7114840793704177,0.0,0.2885159206295824,0.6378205128205129,0.22232905982905982,0.7658136876488066,,19.464743589743588,,,,
prereg,model=XiaomiMiMo/MiMo-V2.5-Pro,Grudger,13,312,0.4321322089506373,0.3151487959448902,1.5883992238499935,2.1733162888787287,0.2400637509789301,0.4927827460834027,0.07508504496596016,0.19206845797170716,0.6282051282051282,0.34396367521367527,0.7128575930737937,0.5970858780321695,19.83653846153846,,,,
