model,condition,unit,variant,contrast,k,mean_pp,positive,negative,raw_p,min_pp,max_pp
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,final,low_off,6,-83.01587301587303,0,6,0.03125,-94.76190476190476,-70.95238095238095
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,post,A,6,-56.58730158730159,0,6,0.03125,-79.04761904761905,-41.42857142857142
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,post,B,6,8.095238095238095,4,1,0.25,-9.999999999999998,24.761904761904763
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,post,deficit,6,-3.0952380952380953,2,3,0.375,-15.238095238095234,11.428571428571422
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,post,high_low,6,1.6666666666666667,5,0,0.0625,0.0,4.761904761904762
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,post,low_off,6,-58.25396825396825,0,6,0.03125,-83.80952380952381,-42.38095238095238
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,read,A,6,-80.39682539682538,0,6,0.03125,-89.04761904761904,-72.38095238095238
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,read,B,6,12.063492063492063,6,0,0.03125,1.4285714285714346,22.38095238095238
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,read,deficit,6,-8.968253968253968,1,5,0.09375,-25.238095238095237,1.904761904761909
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,read,high_low,6,1.4285714285714286,4,1,0.3125,-2.380952380952381,6.190476190476191
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,read,low_off,6,-81.82539682539682,0,6,0.03125,-94.28571428571428,-70.0
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,reported_final,A,6,-80.39682539682539,0,6,0.03125,-87.14285714285714,-72.3809523809524
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,reported_final,B,6,11.26984126984127,6,0,0.03125,0.952380952380949,22.857142857142854
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,reported_final,deficit,6,-7.063492063492067,1,5,0.125,-20.47619047619048,1.904761904761909
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,reported_final,high_low,6,2.619047619047619,5,1,0.1875,-1.4285714285714286,9.523809523809524
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,reported_final,low_off,6,-83.01587301587303,0,6,0.03125,-94.76190476190476,-70.95238095238095
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,round1,A,6,-34.68253968253969,0,6,0.03125,-56.19047619047619,-10.476190476190476
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,round1,B,6,7.539682539682539,6,0,0.03125,0.4761904761904759,11.428571428571429
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,round1,deficit,6,-8.968253968253967,1,5,0.09375,-24.761904761904763,1.9047619047619049
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,round1,high_low,6,0.15873015873015875,3,1,0.625,-0.4761904761904762,0.4761904761904762
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,game,round1,low_off,6,-34.84126984126984,0,6,0.03125,-56.666666666666664,-10.476190476190476
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,any,A,6,-5.623876018195284,0,6,0.03125,-7.971014492753625,-3.6231884057971064
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,any,B,6,0.06038647342995196,1,0,1.0,0.0,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,decoy,A,6,-4.294932825558025,0,6,0.03125,-6.521739130434789,-1.8115942028985477
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,decoy,B,6,-0.06038647342995196,1,3,1.0,-0.7246376811594235,1.449275362318836
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,final,A,6,-5.684262491625236,0,6,0.03125,-7.971014492753625,-3.6231884057971064
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,final,B,6,0.06038647342995196,1,0,1.0,0.0,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,post,A,6,-4.929651962339997,3,3,0.375,-18.478260869565222,8.333333333333337
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,post,B,6,-2.838164251207729,3,3,0.5625,-17.753623188405797,7.971014492753625
