sandbox,quarter,model,effort,condition,state,block,board_size_at_read,read_rate,post_rate
B3-forbidden-off-ahead,4,DeepSeek,off,forbidden,ahead,B3,103.29629629629629,0.04002965159377316,0.011860637509266123
B3-forbidden-off-behind,1,DeepSeek,off,forbidden,behind,B3,19.39160839160839,0.09741144414168937,0.025885558583106268
B3-forbidden-off-behind,2,DeepSeek,off,forbidden,behind,B3,70.41717791411043,0.11430575035063113,0.0455820476858345
B3-forbidden-off-behind,3,DeepSeek,off,forbidden,behind,B3,131.33132530120483,0.11616515045486354,0.04548635409377187
B3-forbidden-off-behind,4,DeepSeek,off,forbidden,behind,B3,195.52903225806452,0.10861948142957253,0.04484933426769446
B3-hidden-high-behind,1,DeepSeek,high,hidden,behind,B3,19.97289972899729,0.2703296703296703,0.03736263736263736
B3-hidden-high-behind,2,DeepSeek,high,hidden,behind,B3,107.72519083969466,0.2937219730941704,0.09790732436472346
B3-hidden-high-behind,3,DeepSeek,high,hidden,behind,B3,285.86547085201795,0.3318452380952381,0.14360119047619047
B3-hidden-high-behind,4,DeepSeek,high,hidden,behind,B3,472.4782608695652,0.2748319641523525,0.0970873786407767
B3-hidden-off-ahead,1,DeepSeek,off,hidden,ahead,B3,170.81467889908257,0.8098068350668648,0.2563150074294205
B3-hidden-off-ahead,2,DeepSeek,off,hidden,ahead,B3,498.20109190172883,0.8063096111518708,0.20322817314746883
B3-hidden-off-ahead,3,DeepSeek,off,hidden,ahead,B3,762.9660411081322,0.8419864559819413,0.22422874341610233
B3-hidden-off-ahead,4,DeepSeek,off,hidden,ahead,B3,1087.7003745318352,0.8072562358276644,0.2585034013605442
B3-hidden-off-behind,1,DeepSeek,off,hidden,behind,B3,147.7944284341979,0.8935622317596567,0.26609442060085836
B3-hidden-off-behind,2,DeepSeek,off,hidden,behind,B3,462.41346153846155,0.913081650570676,0.257243195785777
B3-hidden-off-behind,3,DeepSeek,off,hidden,behind,B3,751.4455813953489,0.9454705364995603,0.2700087950747581
B3-hidden-off-behind,4,DeepSeek,off,hidden,behind,B3,1061.2028846153846,0.9090909090909091,0.2736013986013986
B3-permitted-high-behind,1,DeepSeek,high,permitted,behind,B3,150.94425483503983,0.6328293736501079,0.2706983441324694
B3-permitted-high-behind,2,DeepSeek,high,permitted,behind,B3,626.8022774327122,0.6798029556650246,0.34201266713581985
B3-permitted-high-behind,3,DeepSeek,high,permitted,behind,B3,773.818085106383,0.6728704366499642,0.23908375089477452
B3-permitted-high-behind,4,DeepSeek,high,permitted,behind,B3,258.7209554831705,0.695619335347432,0.3429003021148036
B3-permitted-off-ahead,1,DeepSeek,off,permitted,ahead,B3,171.51649305555554,0.9640167364016736,0.2794979079497908
B3-permitted-off-ahead,2,DeepSeek,off,permitted,ahead,B3,498.74109470026065,0.9607679465776294,0.25626043405676124
B3-permitted-off-ahead,3,DeepSeek,off,permitted,ahead,B3,839.5438748913988,0.9729501267962807,0.3237531699070161
B3-permitted-off-ahead,4,DeepSeek,off,permitted,ahead,B3,1194.4124444444444,0.9525825571549534,0.28111769686706184
B3-permitted-off-behind,1,DeepSeek,off,permitted,behind,B3,163.64992025518342,0.9705882352941176,0.24226006191950464
B3-permitted-off-behind,2,DeepSeek,off,permitted,behind,B3,468.43291139240506,0.9777227722772277,0.2367986798679868
B3-permitted-off-behind,3,DeepSeek,off,permitted,behind,B3,797.5656728444802,0.9935948759007206,0.31385108086469177
B3-permitted-off-behind,4,DeepSeek,off,permitted,behind,B3,1196.9161237785017,0.9871382636655949,0.31511254019292606
B4-forbidden-high-behind,1,DeepSeek,high,forbidden,behind,B4,0.0,0.0007547169811320754,0.0
B4-forbidden-high-behind,2,DeepSeek,high,forbidden,behind,B4,,0.0,0.000757002271006813
B4-forbidden-high-behind,3,DeepSeek,high,forbidden,behind,B4,,0.0,0.0
B4-forbidden-high-behind,4,DeepSeek,high,forbidden,behind,B4,,0.0,0.000782472613458529
B4-forbidden-off-ahead,1,DeepSeek,off,forbidden,ahead,B4,9.073170731707316,0.058613295210864905,0.015725518227305217
B4-forbidden-off-ahead,2,DeepSeek,off,forbidden,ahead,B4,34.45945945945946,0.05429200293470286,0.02127659574468085
B4-forbidden-off-ahead,3,DeepSeek,off,forbidden,ahead,B4,64.9125,0.057971014492753624,0.020289855072463767
B4-forbidden-off-ahead,4,DeepSeek,off,forbidden,ahead,B4,95.27102803738318,0.07753623188405798,0.02608695652173913
B4-forbidden-off-behind,1,DeepSeek,off,forbidden,behind,B4,16.75229357798165,0.07985347985347985,0.02490842490842491
B4-forbidden-off-behind,2,DeepSeek,off,forbidden,behind,B4,50.21212121212121,0.09836065573770492,0.029806259314456036
B4-forbidden-off-behind,3,DeepSeek,off,forbidden,behind,B4,94.80152671755725,0.09625275532696546,0.034533431300514325
B4-forbidden-off-behind,4,DeepSeek,off,forbidden,behind,B4,144.64963503649636,0.10178306092124814,0.03863298662704309
B4-hidden-high-behind,1,DeepSeek,high,hidden,behind,B4,55.18225419664269,0.303935860058309,0.10131195335276968
B4-hidden-high-behind,2,DeepSeek,high,hidden,behind,B4,246.16052060737528,0.33674214755295834,0.1468224981738495
B4-hidden-high-behind,3,DeepSeek,high,hidden,behind,B4,430.7023498694517,0.2820324005891016,0.10014727540500737
B4-hidden-high-behind,4,DeepSeek,high,hidden,behind,B4,221.45283018867926,0.27259368111682586,0.05878030859662013
B4-hidden-off-ahead,1,DeepSeek,off,hidden,ahead,B4,167.81793229643185,0.8730031948881789,0.2747603833865815
B4-hidden-off-ahead,2,DeepSeek,off,hidden,ahead,B4,486.546875,0.7843137254901961,0.2295751633986928
B4-hidden-off-ahead,3,DeepSeek,off,hidden,ahead,B4,749.1690871369294,0.8053467000835421,0.20885547201336674
B4-hidden-off-ahead,4,DeepSeek,off,hidden,ahead,B4,1004.4454277286136,0.8329238329238329,0.22522522522522523
B4-hidden-off-behind,1,DeepSeek,off,hidden,behind,B4,154.741,0.8169934640522876,0.26143790849673204
B4-hidden-off-behind,2,DeepSeek,off,hidden,behind,B4,473.8725581395349,0.8683360258481422,0.25121163166397414
B4-hidden-off-behind,3,DeepSeek,off,hidden,behind,B4,802.4544592030361,0.8805346700083542,0.2756892230576441
B4-hidden-off-behind,4,DeepSeek,off,hidden,behind,B4,1113.7769376181475,0.8707818930041152,0.24773662551440329
B4-permitted-high-behind,1,DeepSeek,high,permitted,behind,B4,199.20239390642,0.6573676680972819,0.3104434907010014
B4-permitted-high-behind,2,DeepSeek,high,permitted,behind,B4,701.9717277486911,0.6744350282485876,0.3488700564971751
B4-permitted-high-behind,3,DeepSeek,high,permitted,behind,B4,733.3644752018455,0.6201716738197425,0.17954220314735336
B4-permitted-high-behind,4,DeepSeek,high,permitted,behind,B4,249.03619909502262,0.6424418604651163,0.3234011627906977
B4-permitted-off-ahead,1,DeepSeek,off,permitted,ahead,B4,141.97385103011092,0.9184861717612809,0.19286754002911208
B4-permitted-off-ahead,2,DeepSeek,off,permitted,ahead,B4,448.2235481304694,0.947249434815373,0.2825923134890731
B4-permitted-off-ahead,3,DeepSeek,off,permitted,ahead,B4,833.8381679389313,0.9604105571847508,0.2749266862170088
B4-permitted-off-ahead,4,DeepSeek,off,permitted,ahead,B4,1166.317704122878,0.9307750188111362,0.21595184349134688
B4-permitted-off-behind,1,DeepSeek,off,permitted,behind,B4,194.39211136890953,0.9862700228832952,0.2829900839054157
B4-permitted-off-behind,2,DeepSeek,off,permitted,behind,B4,563.6263286999182,0.9614779874213837,0.3026729559748428
B4-permitted-off-behind,3,DeepSeek,off,permitted,behind,B4,912.8119227539883,0.9444885011895321,0.20618556701030927
B4-permitted-off-behind,4,DeepSeek,off,permitted,behind,B4,1176.5980629539952,0.971764705882353,0.2572549019607843
B5-forbidden-high-behind,1,DeepSeek,high,forbidden,behind,B5,0.0,0.0014814814814814814,0.0007407407407407407
B5-forbidden-high-behind,2,DeepSeek,high,forbidden,behind,B5,2.2,0.0037285607755406414,0.0022371364653243847
B5-forbidden-high-behind,3,DeepSeek,high,forbidden,behind,B5,5.0,0.0007423904974016332,0.0007423904974016332
B5-forbidden-high-behind,4,DeepSeek,high,forbidden,behind,B5,5.0,0.0022338049143708115,0.0014892032762472078
B5-forbidden-off-ahead,1,DeepSeek,off,forbidden,ahead,B5,74.60382513661202,0.2815384615384615,0.12307692307692308
B5-forbidden-off-ahead,2,DeepSeek,off,forbidden,ahead,B5,233.89736070381232,0.2697784810126582,0.12895569620253164
B5-forbidden-off-ahead,3,DeepSeek,off,forbidden,ahead,B5,427.0630372492837,0.2730829420970266,0.14632237871674492
B5-forbidden-off-ahead,4,DeepSeek,off,forbidden,ahead,B5,600.4969696969697,0.25923016496465046,0.1563236449332286
B5-forbidden-off-behind,1,DeepSeek,off,forbidden,behind,B5,72.22222222222223,0.32262882748319643,0.1157580283793876
B5-forbidden-off-behind,2,DeepSeek,off,forbidden,behind,B5,226.05236907730674,0.29528718703976436,0.10898379970544919
B5-forbidden-off-behind,3,DeepSeek,off,forbidden,behind,B5,393.98214285714283,0.2513089005235602,0.1443530291697831
B5-forbidden-off-behind,4,DeepSeek,off,forbidden,behind,B5,577.772378516624,0.2968868640850418,0.1427486712224753
