sandbox,sandbox_model,condition,effort,score_state,paraphrase,seat_type,total_score,score_per_round,rounds,coop,n_games,dataset
B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,Pavlov,1102.0,2.5507126781695426,432.0,0.8853659843532311,23.0,prereg
B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,Random,732.5,1.6132401862940784,453.0,0.4933688179197161,23.0,prereg
B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,TitForTat,1061.25,2.5600714641322795,415.5,0.7854034975812741,23.0,prereg
B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,AlwaysDefect,683.5,1.5643280403196897,437.5,0.0,23.0,prereg
B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,Grudger,1109.0,2.340499180178539,475.0,0.5927731294073735,23.0,prereg
B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,LLM,889.4166666666666,1.9133353464767966,465.5,0.32749450963862053,23.0,prereg
B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,Pavlov,984.5,2.0099444795839485,493.0,0.7751071754866821,23.0,prereg
B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,Random,563.0,1.3033228968447141,427.5,0.5121033765544099,23.0,prereg
B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,TitForTat,963.75,2.2074236502075912,438.0,0.624104481203281,23.0,prereg
B1-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,AlwaysDefect,795.0,1.6229200649143123,493.0,0.0,23.0,prereg
B1-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,Grudger,1341.0,2.609704641350211,513.0,0.6585374243258117,23.0,prereg
B1-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,LLM,1113.8333333333333,2.3171803691413335,481.25,0.5792247883904859,23.0,prereg
B1-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,Pavlov,1092.0,2.3978049851226766,454.5,0.7899175649968294,23.0,prereg
B1-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,Random,798.5,1.5599241775712365,512.5,0.5255002598752598,23.0,prereg
B1-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,TitForTat,1178.0,2.433933357192106,483.25,0.710963139151622,23.0,prereg
B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,AlwaysDefect,747.0,1.669043374925728,453.0,0.0,23.0,prereg
