dataset,sandbox,path,disposition,prov_sha,prov_bytes,prov_lines,inv_sha,inv_bytes,inv_lines,disk_sha,disk_bytes,prov_vs_inv,prov_vs_disk,inv_vs_disk
prereg,B3-forbidden-off-behind,runs/v3/B3-forbidden-off-behind/moves.jsonl,included,b627e8cdb700d27b3f63a24720cfa9019a966593985cbaf79227adb4559f41fc,23498390,12893,b627e8cdb700d27b3f63a24720cfa9019a966593985cbaf79227adb4559f41fc,23498390,12893,b627e8cdb700d27b3f63a24720cfa9019a966593985cbaf79227adb4559f41fc,23498390,OK,OK,OK
prereg,B3-hidden-high-behind,runs/v3/B3-hidden-high-behind/moves.jsonl,included,0199ee652e96fb764c43764a57271cc2b136aa17e5552289738ce73ee081e2da,84074104,12808,0199ee652e96fb764c43764a57271cc2b136aa17e5552289738ce73ee081e2da,84074104,12808,0199ee652e96fb764c43764a57271cc2b136aa17e5552289738ce73ee081e2da,84074104,OK,OK,OK
prereg,B3-hidden-off-ahead,runs/v3/B3-hidden-off-ahead/moves.jsonl,included,b3bf60db3a08b38d142a1a7b447190d3e693ea2d2cb768500821bc8d2c9c99a6,43205164,12717,b3bf60db3a08b38d142a1a7b447190d3e693ea2d2cb768500821bc8d2c9c99a6,43205164,12717,b3bf60db3a08b38d142a1a7b447190d3e693ea2d2cb768500821bc8d2c9c99a6,43205164,OK,OK,OK
prereg,B3-hidden-off-behind,runs/v3/B3-hidden-off-behind/moves.jsonl,included,c8e75a95f37e64b6e8f576bc4c9f5bd292db7c2ad4843d91b6b858c658054964,46797863,12001,c8e75a95f37e64b6e8f576bc4c9f5bd292db7c2ad4843d91b6b858c658054964,46797863,12001,c8e75a95f37e64b6e8f576bc4c9f5bd292db7c2ad4843d91b6b858c658054964,46797863,OK,OK,OK
prereg,B3-permitted-high-behind,runs/v3/B3-permitted-high-behind/moves.jsonl,included,84e3d543cea386d33153b4b59d4dff1b81ff0e98ee61ce09bf6f81069096cc80,94107295,10679,84e3d543cea386d33153b4b59d4dff1b81ff0e98ee61ce09bf6f81069096cc80,94107295,10679,84e3d543cea386d33153b4b59d4dff1b81ff0e98ee61ce09bf6f81069096cc80,94107295,OK,OK,OK
prereg,B3-permitted-off-ahead,runs/v3/B3-permitted-off-ahead/moves.jsonl,included,d43159034e2b7f7816ceba75dbe1e9283368f69c23c8823fc8d828e4c343f522,45050041,12021,d43159034e2b7f7816ceba75dbe1e9283368f69c23c8823fc8d828e4c343f522,45050041,12021,d43159034e2b7f7816ceba75dbe1e9283368f69c23c8823fc8d828e4c343f522,45050041,OK,OK,OK
prereg,B3-permitted-off-behind,runs/v3/B3-permitted-off-behind/moves.jsonl,included,9a249680e0c56c4c3e0feab6bfbcaf0a4ecf7e92c2a63620c0781f9f18aaad77,50362440,12013,9a249680e0c56c4c3e0feab6bfbcaf0a4ecf7e92c2a63620c0781f9f18aaad77,50362440,12013,9a249680e0c56c4c3e0feab6bfbcaf0a4ecf7e92c2a63620c0781f9f18aaad77,50362440,OK,OK,OK
prereg,B4-forbidden-high-behind,runs/v3/B4-forbidden-high-behind/moves.jsonl,included,b7d03d0cc851d84a32f39016ef9746d01c94ba2cce147958763ae66dedf2aef8,55860202,12547,b7d03d0cc851d84a32f39016ef9746d01c94ba2cce147958763ae66dedf2aef8,55860202,12547,b7d03d0cc851d84a32f39016ef9746d01c94ba2cce147958763ae66dedf2aef8,55860202,OK,OK,OK
prereg,B4-forbidden-off-ahead,runs/v3/B4-forbidden-off-ahead/moves.jsonl,included,aae0a71e6324a134d35b3ad001ffe258c9542d315a92efb9367238c64dc88bf6,21016120,12930,aae0a71e6324a134d35b3ad001ffe258c9542d315a92efb9367238c64dc88bf6,21016120,12930,aae0a71e6324a134d35b3ad001ffe258c9542d315a92efb9367238c64dc88bf6,21016120,OK,OK,OK
prereg,B4-forbidden-off-behind,runs/v3/B4-forbidden-off-behind/moves.jsonl,included,77ab54664835ae4d225fa04e70f9c334190a0bb3e97d64248d43118ae35cd5eb,22467523,12919,77ab54664835ae4d225fa04e70f9c334190a0bb3e97d64248d43118ae35cd5eb,22467523,12919,77ab54664835ae4d225fa04e70f9c334190a0bb3e97d64248d43118ae35cd5eb,22467523,OK,OK,OK
prereg,B4-hidden-high-behind,runs/v3/B4-hidden-high-behind/moves.jsonl,included,f7e23fc2cb5017e370178bdadd93d5cc590323fdcd67e1b9e50f3a0aca6e46c6,80537647,11582,f7e23fc2cb5017e370178bdadd93d5cc590323fdcd67e1b9e50f3a0aca6e46c6,80537647,11582,f7e23fc2cb5017e370178bdadd93d5cc590323fdcd67e1b9e50f3a0aca6e46c6,80537647,OK,OK,OK
