sandbox,total_calls,chi2,df,p,rate_min,rate_max,rate_cv,model,effort,condition
B5-permitted-off-behind,4804,2.782487413380458,11,0.9932993164242806,1.326984126984127,1.4377104377104377,0.024783987579407495,DeepSeek,off,permitted
B6-forbidden-off-ahead,2260,15.970151971358936,11,0.14224260027479615,0.3801295896328294,0.498,0.08566477647365274,DeepSeek,off,forbidden
B6-forbidden-off-behind,2206,11.7761619379032,11,0.3807015152152025,0.3538083538083538,0.45564516129032256,0.07624539792119832,DeepSeek,off,forbidden
B6-hidden-high-behind,2049,18.686906929231927,11,0.06695041930350182,0.3306930693069307,0.46206896551724136,0.09762550112607941,DeepSeek,high,hidden
B6-hidden-off-ahead,5799,3.1805018831080245,11,0.9881188115683278,1.2421652421652423,1.3532608695652173,0.024648584566938844,DeepSeek,off,hidden
B6-hidden-off-behind,4723,1.6732466910875536,11,0.9993543237096386,1.25,1.3385826771653544,0.020005018251239643,DeepSeek,off,hidden
B6-permitted-high-behind,5542,11.983689324612692,11,0.36487049334108645,0.9236453201970444,1.0773930753564154,0.04960125357089075,DeepSeek,high,permitted
B6-permitted-off-ahead,4911,3.336221333205677,11,0.9854950266224562,1.2875816993464053,1.4150943396226414,0.02744113637605297,DeepSeek,off,permitted
B6-permitted-off-behind,4239,4.636730949940465,11,0.9474763703603367,1.3173431734317342,1.4880952380952381,0.03446553064491743,DeepSeek,off,permitted
M1-forbidden-off-ahead,975,20.203720985877993,11,0.042623844028439155,0.13978494623655913,0.2222222222222222,0.14953843327541333,MiMo,off,forbidden
M1-forbidden-off-behind,1034,9.806585280599158,11,0.547864425595573,0.156312625250501,0.20964360587002095,0.1016607820287827,MiMo,off,forbidden
M1-permitted-off-behind,4153,8.974679644521668,11,0.6242296159336664,0.7541899441340782,0.892018779342723,0.048859295205851076,MiMo,off,permitted
M2-forbidden-off-ahead,937,31.339308279784397,11,0.0009728020066445527,0.10653753026634383,0.23869346733668342,0.19466170726997162,MiMo,off,forbidden
M2-forbidden-off-behind,1121,5.879217948733129,11,0.8813003170727077,0.18226600985221675,0.22493887530562348,0.07742456365694533,MiMo,off,forbidden
M3-forbidden-off-ahead,1022,12.66912702007843,11,0.3154999457700882,0.1437007874015748,0.2136279926335175,0.1139066895859002,MiMo,off,forbidden
M3-forbidden-off-behind,1217,12.035501477899299,11,0.36098061217830213,0.19014084507042253,0.2706766917293233,0.10236803111583505,MiMo,off,forbidden
M4-forbidden-off-ahead,875,25.291042369915516,11,0.00826284628421317,0.11016949152542373,0.20766129032258066,0.17629481562956487,MiMo,off,forbidden
M4-forbidden-off-behind,1116,4.915578222049087,11,0.9351859673481548,0.17980295566502463,0.22959183673469388,0.07198121508545138,MiMo,off,forbidden
M5-forbidden-off-ahead,1225,24.41097334005269,11,0.011107551853066167,0.15665236051502146,0.28516377649325625,0.14734666099242194,MiMo,off,forbidden
M5-forbidden-off-behind,1406,12.03578352827715,11,0.36095950597400694,0.2246376811594203,0.3140096618357488,0.09994021057432809,MiMo,off,forbidden
M6-forbidden-off-ahead,1147,19.975135439503603,11,0.045682838459612796,0.15365853658536585,0.26666666666666666,0.13995688889412145,MiMo,off,forbidden
M6-forbidden-off-behind,1323,18.54841952538942,11,0.06969702452659944,0.19279661016949154,0.2833333333333333,0.12290199169921406,MiMo,off,forbidden
