dataset,opponent_type,llm_spr,n_sandboxes,base_TitForTat,llm_minus_TitForTat,n_above_TitForTat,base_Random,llm_minus_Random,n_above_Random,base_AlwaysDefect,llm_minus_AlwaysDefect,n_above_AlwaysDefect,base_Grudger,llm_minus_Grudger,n_above_Grudger,base_Pavlov,llm_minus_Pavlov,n_above_Pavlov
prereg,LLM,1.8564827697434123,69,3.0,-1.1435172302565877,0,2.2519211521328453,-0.39543838238943296,20,1.0,0.8564827697434123,60,3.0,-1.1435172302565877,0,3.0,-1.1435172302565877,0
prereg,Pavlov,2.742980524042963,69,3.0,-0.257019475957037,3,2.362609714498479,0.380370809544484,63,3.0305746060400156,-0.2875940819970526,2,3.0,-0.257019475957037,3,3.0,-0.257019475957037,3
prereg,Random,2.3799439990662865,69,2.210875464838656,0.16906853422763035,56,2.245825220725039,0.1341187783412474,51,3.0222997719475924,-0.6423557728813059,0,2.8755075575108875,-0.495563558444601,1,2.212713900715395,0.16723009835089142,56
prereg,TitForTat,2.3133597915558317,69,3.0,-0.6866402084441683,0,2.3403615582133024,-0.02700176665747067,39,1.199272906669724,1.1140868848861076,68,3.0,-0.6866402084441683,0,3.0,-0.6866402084441683,0
replication,AlwaysDefect,0.801311588964395,24,0.9486991701084815,-0.14738758114408645,0,0.4929341850597213,0.3083774039046737,24,1.0,-0.19868841103560497,0,0.9510254094443983,-0.14971382048000326,0,0.4927170056525572,0.3085945833118378,24
replication,Grudger,1.8101489155862467,24,3.0,-1.1898510844137533,0,0.8435370814679042,0.9666118341183425,24,1.2097109532036665,0.6004379623825802,21,3.0,-1.1898510844137533,0,3.0,-1.1898510844137533,0
replication,LLM,1.8783648531250898,24,3.0,-1.1216351468749102,0,2.2519211521328453,-0.37355629900775544,4,1.0,0.8783648531250898,24,3.0,-1.1216351468749102,0,3.0,-1.1216351468749102,0
replication,Pavlov,2.912788975896428,24,3.0,-0.08721102410357195,6,2.362609714498479,0.550179261397949,24,3.0305746060400156,-0.11778563014358756,3,3.0,-0.08721102410357195,6,3.0,-0.08721102410357195,6
replication,Random,2.6093123259199715,24,2.210875464838656,0.3984368610813154,24,2.245825220725039,0.36348710519493244,24,3.0222997719475924,-0.41298744602762083,0,2.8755075575108875,-0.26619523159091596,2,2.212713900715395,0.39659842520457644,24
replication,TitForTat,2.151243293686507,24,3.0,-0.8487567063134929,0,2.3403615582133024,-0.18911826452679525,7,1.199272906669724,0.951970387016783,24,3.0,-0.8487567063134929,0,3.0,-0.8487567063134929,0
