baseline,seed,seat_type,opp_seat_type,score,rounds,score_per_round,coop
Random,1,Pavlov,SEAT,830,353,2.3512747875354107,0.5524079320113314
Random,1,TitForTat,TitForTat,720,240,3.0,1.0
Random,1,TitForTat,Grudger,441,147,3.0,1.0
Random,1,Grudger,TitForTat,441,147,3.0,1.0
Random,1,TitForTat,AlwaysDefect,128,136,0.9411764705882353,0.058823529411764705
Random,1,AlwaysDefect,TitForTat,168,136,1.2352941176470589,0.0
Random,1,TitForTat,Random,453,212,2.1367924528301887,0.46226415094339623
Random,1,Random,TitForTat,458,212,2.160377358490566,0.45754716981132076
Random,1,TitForTat,Pavlov,387,129,3.0,1.0
Random,1,Pavlov,TitForTat,387,129,3.0,1.0
Random,1,Grudger,Grudger,114,38,3.0,1.0
Random,1,Grudger,AlwaysDefect,81,85,0.9529411764705882,0.047058823529411764
Random,1,AlwaysDefect,Grudger,101,85,1.188235294117647,0.0
Random,1,Grudger,Random,235,81,2.9012345679012346,0.16049382716049382
Random,1,Random,Grudger,80,81,0.9876543209876543,0.5432098765432098
Random,1,Grudger,Pavlov,153,51,3.0,1.0
Random,1,Pavlov,Grudger,153,51,3.0,1.0
Random,1,AlwaysDefect,AlwaysDefect,42,42,1.0,0.0
Random,1,AlwaysDefect,Random,116,40,2.9,0.0
Random,1,Random,AlwaysDefect,21,40,0.525,0.475
Random,1,AlwaysDefect,Pavlov,227,75,3.026666666666667,0.0
Random,1,Pavlov,AlwaysDefect,37,75,0.49333333333333335,0.5066666666666667
Random,1,Random,Random,133,60,2.216666666666667,0.48333333333333334
Random,1,Random,Pavlov,215,93,2.3118279569892475,0.4946236559139785
Random,1,Pavlov,Random,205,93,2.204301075268817,0.5161290322580645
Random,1,Pavlov,Pavlov,12,4,3.0,1.0
Random,2,SEAT,SEAT,5937,2628,2.259132420091324,0.504185692541857
Random,2,SEAT,TitForTat,1952,824,2.3689320388349513,0.49271844660194175
Random,2,TitForTat,SEAT,1807,824,2.1929611650485437,0.5279126213592233
Random,2,SEAT,Grudger,377,428,0.8808411214953271,0.4766355140186916
Random,2,Grudger,SEAT,1182,428,2.7616822429906542,0.10046728971962617
