dataset,sandbox,source,condition,effort,paraphrase,seed,shuffle_seed,provider,quant,matrix,arm,gap,history,start,repair_of,board_replay
prereg,M1-forbidden-off-ahead,./runs/v3-mimo/M1-forbidden-off-ahead/manifest.json,forbidden,off,p1,109,109,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M1-forbidden-off-behind,./runs/v3-mimo/M1-forbidden-off-behind/manifest.json,forbidden,off,p1,110,110,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M1-permitted-off-behind,./runs/v3-mimo/M1-permitted-off-behind/manifest.json,permitted,off,p1,106,106,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M2-forbidden-off-ahead,./runs/v3-mimo/M2-forbidden-off-ahead/manifest.json,forbidden,off,p1,209,209,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M2-forbidden-off-behind,./runs/v3-mimo/M2-forbidden-off-behind/manifest.json,forbidden,off,p1,210,210,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M3-forbidden-off-ahead,./runs/v3-mimo/M3-forbidden-off-ahead/manifest.json,forbidden,off,p2,309,309,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M3-forbidden-off-behind,./runs/v3-mimo/M3-forbidden-off-behind/manifest.json,forbidden,off,p2,310,310,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M4-forbidden-off-ahead,./runs/v3-mimo/M4-forbidden-off-ahead/manifest.json,forbidden,off,p2,409,409,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:09:05Z,,
prereg,M4-forbidden-off-behind,./runs/v3-mimo/M4-forbidden-off-behind/manifest.json,forbidden,off,p2,410,410,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:19:21Z,,
prereg,M5-forbidden-off-ahead,./runs/v3-mimo/M5-forbidden-off-ahead/manifest.json,forbidden,off,p3,509,509,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T00:24:27Z,,
prereg,M5-forbidden-off-behind,./runs/v3-mimo/M5-forbidden-off-behind/manifest.json,forbidden,off,p3,510,510,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:26:55Z,,
prereg,M6-forbidden-off-ahead,./runs/v3-mimo/M6-forbidden-off-ahead/manifest.json,forbidden,off,p3,609,609,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T00:27:05Z,,
prereg,M6-forbidden-off-behind,./runs/v3-mimo/M6-forbidden-off-behind/manifest.json,forbidden,off,p3,610,610,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:35:38Z,,
prereg,Y1-forbidden-off-behind-p4,./runs/v3-mimo/Y1-forbidden-off-behind-p4/manifest.json,forbidden,off,p4,9101,110,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T00:45:20Z,,
prereg,B1-absent-high-ahead-repair,./runs/v7-repair/B1-absent-high-ahead-repair/manifest.json,absent,high,p1,103,103,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T09:10:02Z,B1-absent-high-ahead,fresh
prereg,B3-permitted-high-behind-repair,./runs/v7-repair/B3-permitted-high-behind-repair/manifest.json,permitted,high,p2,308,308,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T09:10:03Z,B3-permitted-high-behind,fresh
prereg,B4-hidden-high-behind-repair,./runs/v7-repair/B4-hidden-high-behind-repair/manifest.json,hidden,high,p2,416,416,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T09:43:55Z,B4-hidden-high-behind,fresh
prereg,B4-permitted-high-behind-repair,./runs/v7-repair/B4-permitted-high-behind-repair/manifest.json,permitted,high,p2,408,408,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T09:44:15Z,B4-permitted-high-behind,fresh
prereg,B5-forbidden-high-behind-repair,./runs/v7-repair/B5-forbidden-high-behind-repair/manifest.json,forbidden,high,p3,512,512,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:23:02Z,B5-forbidden-high-behind,fresh
prereg,B5-hidden-high-behind-repair,./runs/v7-repair/B5-hidden-high-behind-repair/manifest.json,hidden,high,p3,516,516,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T09:59:35Z,B5-hidden-high-behind,fresh
prereg,B5-permitted-high-behind-repair,./runs/v7-repair/B5-permitted-high-behind-repair/manifest.json,permitted,high,p3,508,508,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T10:23:56Z,B5-permitted-high-behind,fresh
prereg,B6-forbidden-high-behind-repair,./runs/v7-repair/B6-forbidden-high-behind-repair/manifest.json,forbidden,high,p3,612,612,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:23:07Z,B6-forbidden-high-behind,fresh
prereg,B6-hidden-high-behind-repair,./runs/v7-repair/B6-hidden-high-behind-repair/manifest.json,hidden,high,p3,616,616,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:41:51Z,B6-hidden-high-behind,fresh
prereg,B6-permitted-high-behind-repair,./runs/v7-repair/B6-permitted-high-behind-repair/manifest.json,permitted,high,p3,608,608,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:41:51Z,B6-permitted-high-behind,fresh
replication,B1-hidden-off-ahead-a4096,./runs/v4-a4096/B1-hidden-off-ahead-a4096/manifest.json,hidden,off,p1,113,113,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T05:28:09Z,,
replication,B1-hidden-off-behind-a4096,./runs/v4-a4096/B1-hidden-off-behind-a4096/manifest.json,hidden,off,p1,114,114,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T05:28:09Z,,
replication,B1-permitted-off-ahead-a4096,./runs/v4-a4096/B1-permitted-off-ahead-a4096/manifest.json,permitted,off,p1,105,105,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T05:28:09Z,,
replication,B1-permitted-off-behind-a4096,./runs/v4-a4096/B1-permitted-off-behind-a4096/manifest.json,permitted,off,p1,106,106,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T05:28:09Z,,
replication,B2-hidden-off-ahead-a4096,./runs/v4-a4096/B2-hidden-off-ahead-a4096/manifest.json,hidden,off,p1,213,213,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T05:28:09Z,,
replication,B2-hidden-off-behind-a4096,./runs/v4-a4096/B2-hidden-off-behind-a4096/manifest.json,hidden,off,p1,214,214,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T06:13:11Z,,
replication,B2-permitted-off-ahead-a4096,./runs/v4-a4096/B2-permitted-off-ahead-a4096/manifest.json,permitted,off,p1,205,205,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T06:10:58Z,,
replication,B2-permitted-off-behind-a4096,./runs/v4-a4096/B2-permitted-off-behind-a4096/manifest.json,permitted,off,p1,206,206,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T05:28:09Z,,
replication,B3-hidden-off-ahead-a4096,./runs/v4-a4096/B3-hidden-off-ahead-a4096/manifest.json,hidden,off,p2,313,313,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T06:15:18Z,,
replication,B3-hidden-off-behind-a4096,./runs/v4-a4096/B3-hidden-off-behind-a4096/manifest.json,hidden,off,p2,314,314,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B3-hidden-off-behind-a4096,./runs/v4-a4096/B3-hidden-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,hidden,off,p2,314,314,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T06:20:19Z,,
replication,B3-permitted-off-ahead-a4096,./runs/v4-a4096/B3-permitted-off-ahead-a4096/manifest.json,permitted,off,p2,305,305,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T06:18:02Z,,
replication,B3-permitted-off-behind-a4096,./runs/v4-a4096/B3-permitted-off-behind-a4096/manifest.json,permitted,off,p2,306,306,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B3-permitted-off-behind-a4096,./runs/v4-a4096/B3-permitted-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,permitted,off,p2,306,306,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T06:15:25Z,,
replication,B4-hidden-off-ahead-a4096,./runs/v4-a4096/B4-hidden-off-ahead-a4096/manifest.json,hidden,off,p2,413,413,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B4-hidden-off-ahead-a4096,./runs/v4-a4096/B4-hidden-off-ahead-a4096.partial-providererror-20260913T080239Z/manifest.json,hidden,off,p2,413,413,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T06:54:50Z,,
replication,B4-hidden-off-behind-a4096,./runs/v4-a4096/B4-hidden-off-behind-a4096/manifest.json,hidden,off,p2,414,414,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B4-hidden-off-behind-a4096,./runs/v4-a4096/B4-hidden-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,hidden,off,p2,414,414,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T07:01:41Z,,
replication,B4-permitted-off-ahead-a4096,./runs/v4-a4096/B4-permitted-off-ahead-a4096/manifest.json,permitted,off,p2,405,405,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B4-permitted-off-ahead-a4096,./runs/v4-a4096/B4-permitted-off-ahead-a4096.partial-providererror-20260913T080239Z/manifest.json,permitted,off,p2,405,405,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T06:59:04Z,,
replication,B4-permitted-off-behind-a4096,./runs/v4-a4096/B4-permitted-off-behind-a4096/manifest.json,permitted,off,p2,406,406,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B4-permitted-off-behind-a4096,./runs/v4-a4096/B4-permitted-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,permitted,off,p2,406,406,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T06:55:47Z,,
replication,B5-hidden-off-ahead-a4096,./runs/v4-a4096/B5-hidden-off-ahead-a4096/manifest.json,hidden,off,p3,513,513,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B5-hidden-off-ahead-a4096,./runs/v4-a4096/B5-hidden-off-ahead-a4096.partial-providererror-20260913T080239Z/manifest.json,hidden,off,p3,513,513,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T07:06:13Z,,
replication,B5-hidden-off-behind-a4096,./runs/v4-a4096/B5-hidden-off-behind-a4096/manifest.json,hidden,off,p3,514,514,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T09:17:18Z,,
replication,B5-hidden-off-behind-a4096,./runs/v4-a4096/B5-hidden-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,hidden,off,p3,514,514,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T07:33:05Z,,
replication,B5-permitted-off-ahead-a4096,./runs/v4-a4096/B5-permitted-off-ahead-a4096/manifest.json,permitted,off,p3,505,505,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T09:08:23Z,,
replication,B5-permitted-off-ahead-a4096,./runs/v4-a4096/B5-permitted-off-ahead-a4096.partial-providererror-20260913T080239Z/manifest.json,permitted,off,p3,505,505,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T07:32:55Z,,
replication,B5-permitted-off-behind-a4096,./runs/v4-a4096/B5-permitted-off-behind-a4096/manifest.json,permitted,off,p3,506,506,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T08:22:31Z,,
replication,B5-permitted-off-behind-a4096,./runs/v4-a4096/B5-permitted-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,permitted,off,p3,506,506,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T07:07:16Z,,
replication,B6-hidden-off-ahead-a4096,./runs/v4-a4096/B6-hidden-off-ahead-a4096/manifest.json,hidden,off,p3,613,613,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T09:27:35Z,,
replication,B6-hidden-off-ahead-a4096,./runs/v4-a4096/B6-hidden-off-ahead-a4096.partial-providererror-20260913T080239Z/manifest.json,hidden,off,p3,613,613,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-13T07:36:49Z,,
replication,B6-hidden-off-behind-a4096,./runs/v4-a4096/B6-hidden-off-behind-a4096/manifest.json,hidden,off,p3,614,614,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T09:37:04Z,,
replication,B6-hidden-off-behind-a4096,./runs/v4-a4096/B6-hidden-off-behind-a4096.partial-providererror-20260913T080239Z/manifest.json,hidden,off,p3,614,614,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-13T07:59:30Z,,
