contrast,opponent_type,outcome,mean_diff,n_pos,k,p_exact_signflip,mean_A,mean_B,per_block_A,per_block_B
"Q5 behind - ahead (forbidden, off, MiMo)",all,own_coop_played,-0.031714969498853794,2,6,0.375,0.5170120508401065,0.5487270203389604,0.626;0.635;0.556;0.474;0.387;0.423,0.571;0.606;0.615;0.619;0.436;0.445
"Q5 behind - ahead (forbidden, off, MiMo)",all,spr,0.00934703435580475,4,6,0.8125,2.1618789436263666,2.152531909270562,2.342;2.348;2.223;2.082;1.965;2.012,2.187;2.310;2.207;2.170;2.041;2.000
"Q5 behind - ahead (forbidden, off, MiMo)",all,opp_spr,-0.026370708103316765,2,6,0.625,2.239036869506845,2.265407577610162,2.433;2.458;2.315;2.174;1.996;2.058,2.327;2.371;2.408;2.362;2.058;2.066
"Q5 behind - ahead (forbidden, off, MiMo)",all,round1_coop,-0.014492753623188396,2,6,0.65625,0.608695652173913,0.6231884057971014,0.819;0.793;0.681;0.612;0.384;0.362,0.750;0.728;0.739;0.754;0.399;0.370
"Q5 behind - ahead (forbidden, off, MiMo)",all,retaliation_rate,0.0453501550295877,5,6,0.09375,0.5847820120807118,0.5394318570511242,0.566;0.532;0.575;0.603;0.646;0.587,0.552;0.557;0.514;0.516;0.542;0.555
"Q5 behind - ahead (forbidden, off, MiMo)",all,forgiveness_rate,0.13537202688217057,6,6,0.03125,0.6052148969503716,0.4698428700682011,0.673;0.712;0.589;0.594;0.526;0.537,0.479;0.496;0.530;0.480;0.412;0.423
"Q5 behind - ahead (forbidden, off, MiMo)",all,mutual_D,0.004311252191985619,3,6,0.8125,0.30515004061223094,0.3008387884202453,0.230;0.222;0.278;0.337;0.396;0.369,0.289;0.259;0.255;0.255;0.375;0.373
"Q5 behind - ahead (forbidden, off, MiMo)",all,nice,0.0024154589371980693,3,6,0.9375,0.3460144927536232,0.34359903381642515,0.525;0.460;0.366;0.308;0.221;0.196,0.424;0.453;0.384;0.417;0.185;0.199
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,own_coop_played,-0.281901841223353,0,6,0.03125,0.14784961852690912,0.42975145975026213,0.041;0.039;0.157;0.179;0.248;0.222,0.416;0.437;0.451;0.440;0.424;0.411
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,spr,-0.3842170233411902,0,6,0.03125,1.6377317460776462,2.0219487694188363,1.496;1.529;1.616;1.725;1.731;1.729,1.983;2.089;1.995;2.054;2.014;1.996
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,opp_spr,-0.6518643866995006,0,6,0.03125,1.3077532366608298,1.9596176233603304,1.009;0.993;1.332;1.364;1.611;1.537,1.901;1.952;1.986;1.962;1.992;1.965
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,round1_coop,-0.5301932367149759,0,6,0.03125,0.11835748792270533,0.6485507246376812,0.018;0.014;0.138;0.181;0.210;0.149,0.779;0.826;0.616;0.580;0.543;0.547
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,retaliation_rate,0.13314778963924298,6,6,0.03125,0.8784268184614511,0.7452790288222081,0.970;0.967;0.893;0.844;0.791;0.805,0.788;0.756;0.772;0.759;0.692;0.705
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,forgiveness_rate,-0.19061133584898035,0,6,0.03125,0.19484881067660145,0.3854601465255818,0.090;0.065;0.183;0.200;0.324;0.307,0.427;0.380;0.308;0.351;0.427;0.420
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,mutual_D,0.2713782310807287,6,6,0.03125,0.6993866084199195,0.4280083773391908,0.838;0.832;0.711;0.671;0.558;0.587,0.469;0.430;0.444;0.442;0.384;0.400
"Q5 -30 minus -10 (forbidden, off, behind, DeepSeek; deficit_d30 vs prereg)",all,nice,-0.3254830917874396,0,6,0.03125,0.07185990338164251,0.39734299516908206,0.014;0.007;0.094;0.120;0.101;0.094,0.435;0.446;0.475;0.431;0.322;0.275
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,own_coop_played,-0.04520704623715405,3,6,0.625,0.38454441351310803,0.42975145975026213,0.494;0.731;0.286;0.460;0.154;0.182,0.416;0.437;0.451;0.440;0.424;0.411
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,spr,-0.3508269656910222,2,6,0.3125,1.6711218037278142,2.0219487694188363,2.146;2.553;1.636;1.927;0.948;0.816,1.983;2.089;1.995;2.054;2.014;1.996
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,opp_spr,-0.46019785915587175,2,6,0.21875,1.4994197642044587,1.9596176233603304,2.007;2.493;1.401;1.764;0.689;0.643,1.901;1.952;1.986;1.962;1.992;1.965
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,round1_coop,-0.10954635212807222,3,6,0.34375,0.5390043725096089,0.6485507246376812,0.848;0.953;0.478;0.638;0.109;0.208,0.779;0.826;0.616;0.580;0.543;0.547
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,retaliation_rate,0.1170416320753489,6,6,0.03125,0.8623206608975571,0.7452790288222081,0.903;0.852;0.891;0.848;0.835;0.845,0.788;0.756;0.772;0.759;0.692;0.705
