contrast_id,member,model,quality_policy,condition,held_fixed,block,hi_level,hi_rate,lo_level,lo_rate,difference_pp
A_forbidden|DeepSeek-V4-Flash-0731|keep_all_disclosed_deviation|DeepSeek-V4-Flash-0731/forbidden/behind/B2,A_forbidden,DeepSeek-V4-Flash-0731,keep_all_disclosed_deviation,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B2,high,0.019,off,0.8,-78.1
A_forbidden|DeepSeek-V4-Flash-0731|keep_all_disclosed_deviation|DeepSeek-V4-Flash-0731/forbidden/behind/B3,A_forbidden,DeepSeek-V4-Flash-0731,keep_all_disclosed_deviation,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B3,high,0.0286,off,0.8286,-80.0
A_forbidden|DeepSeek-V4-Flash-0731|keep_all_disclosed_deviation|DeepSeek-V4-Flash-0731/forbidden/behind/B4,A_forbidden,DeepSeek-V4-Flash-0731,keep_all_disclosed_deviation,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B4,high,0.0143,off,0.7476,-73.33
A_forbidden|DeepSeek-V4-Flash-0731|keep_all_disclosed_deviation|DeepSeek-V4-Flash-0731/forbidden/behind/B5,A_forbidden,DeepSeek-V4-Flash-0731,keep_all_disclosed_deviation,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B5,high,0.0714,off,0.9476,-87.62
A_forbidden|DeepSeek-V4-Flash-0731|keep_all_disclosed_deviation|DeepSeek-V4-Flash-0731/forbidden/behind/B6,A_forbidden,DeepSeek-V4-Flash-0731,keep_all_disclosed_deviation,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B6,high,0.1143,off,0.9667,-85.24
B_forbidden|MiMo-V2.5-Pro|registered_exclude_gt_10pct|MiMo-V2.5-Pro/forbidden/off/B1,B_forbidden,MiMo-V2.5-Pro,registered_exclude_gt_10pct,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B1,behind,0.9476,ahead,0.9524,-0.48
B_forbidden|MiMo-V2.5-Pro|registered_exclude_gt_10pct|MiMo-V2.5-Pro/forbidden/off/B2,B_forbidden,MiMo-V2.5-Pro,registered_exclude_gt_10pct,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B2,behind,0.9571,ahead,0.919,3.81
B_forbidden|MiMo-V2.5-Pro|registered_exclude_gt_10pct|MiMo-V2.5-Pro/forbidden/off/B3,B_forbidden,MiMo-V2.5-Pro,registered_exclude_gt_10pct,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B3,behind,0.9476,ahead,0.881,6.67
B_forbidden|MiMo-V2.5-Pro|registered_exclude_gt_10pct|MiMo-V2.5-Pro/forbidden/off/B4,B_forbidden,MiMo-V2.5-Pro,registered_exclude_gt_10pct,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B4,behind,0.8714,ahead,0.8857,-1.43
B_forbidden|MiMo-V2.5-Pro|registered_exclude_gt_10pct|MiMo-V2.5-Pro/forbidden/off/B5,B_forbidden,MiMo-V2.5-Pro,registered_exclude_gt_10pct,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B5,behind,0.919,ahead,0.8857,3.33
B_forbidden|MiMo-V2.5-Pro|registered_exclude_gt_10pct|MiMo-V2.5-Pro/forbidden/off/B6,B_forbidden,MiMo-V2.5-Pro,registered_exclude_gt_10pct,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B6,behind,0.9238,ahead,0.8905,3.33
B_forbidden|MiMo-V2.5-Pro|keep_all_disclosed_deviation|MiMo-V2.5-Pro/forbidden/off/B1,B_forbidden,MiMo-V2.5-Pro,keep_all_disclosed_deviation,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B1,behind,0.9476,ahead,0.9524,-0.48
B_forbidden|MiMo-V2.5-Pro|keep_all_disclosed_deviation|MiMo-V2.5-Pro/forbidden/off/B2,B_forbidden,MiMo-V2.5-Pro,keep_all_disclosed_deviation,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B2,behind,0.9571,ahead,0.919,3.81
B_forbidden|MiMo-V2.5-Pro|keep_all_disclosed_deviation|MiMo-V2.5-Pro/forbidden/off/B3,B_forbidden,MiMo-V2.5-Pro,keep_all_disclosed_deviation,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B3,behind,0.9476,ahead,0.881,6.67
B_forbidden|MiMo-V2.5-Pro|keep_all_disclosed_deviation|MiMo-V2.5-Pro/forbidden/off/B4,B_forbidden,MiMo-V2.5-Pro,keep_all_disclosed_deviation,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B4,behind,0.8714,ahead,0.8857,-1.43
B_forbidden|MiMo-V2.5-Pro|keep_all_disclosed_deviation|MiMo-V2.5-Pro/forbidden/off/B5,B_forbidden,MiMo-V2.5-Pro,keep_all_disclosed_deviation,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B5,behind,0.919,ahead,0.8857,3.33
B_forbidden|MiMo-V2.5-Pro|keep_all_disclosed_deviation|MiMo-V2.5-Pro/forbidden/off/B6,B_forbidden,MiMo-V2.5-Pro,keep_all_disclosed_deviation,forbidden,effort=off,MiMo-V2.5-Pro/forbidden/off/B6,behind,0.9238,ahead,0.8905,3.33
